step,hour,global_hour,day_index,hour_of_day,time_label,expected_passing_total,expected_station_arrivals_ab,expected_station_arrivals_bc,expected_passing_ab,expected_passing_ba,arrivals_total,arrivals_total_station_ab,arrivals_total_station_bc,arrivals_ab,arrivals_ba,starts_total,starts_ab,starts_ba,completions_total,completions_ab,completions_ba,queue_length,queue_wait_mean_minutes,queue_wait_target_minutes,queue_wait_excess_minutes,queue_wait_target_breached,active_plugs,effective_num_plugs,unused_mobile_chargers,unused_mobile_stations_estimate,utilization,started_wait_mean_minutes,completed_wait_mean_minutes,started_service_mean_minutes,disruption_active,disruption_type,disruption_type_code,disruption_target,disruption_target_code,disruption_day_index,disruption_remaining_minutes,rl_action_mcs,num_active_mobile_stations,num_active_mobile_stations_station_ab,num_active_mobile_stations_station_bc,queue_length_station_ab,queue_length_station_bc,queue_wait_mean_minutes_station_ab,queue_wait_mean_minutes_station_bc,local_deficit_without_mcs_station_ab,local_deficit_without_mcs_station_bc,local_deficit_bias_ab_minus_bc,mobile_service_capacity_station_ab,mobile_service_capacity_station_bc,spatial_deficit_coverage,unused_mobile_stations_estimate_station_ab,unused_mobile_stations_estimate_station_bc,expected_passing_od_ab,expected_passing_od_ba,expected_passing_od_bc,expected_passing_od_cb,expected_passing_od_ac,expected_passing_od_ca,reward,expected_demand_share_ab,expected_demand_share_bc,allocation_share_ab,allocation_share_bc,allocation_demand_gap_ab,allocation_demand_gap_bc,allocation_vs_demand_alignment,allocation_bias_ab_minus_bc,expected_demand_bias_ab_minus_bc,alignment_on_station_ab_disruption,alignment_on_station_bc_disruption,disruption_target_is_station_ab,disruption_target_is_station_bc,disruption_target_is_all_stations,disruption_target_is_od_ab,disruption_target_is_od_ba,disruption_target_is_od_bc,disruption_target_is_od_cb,disruption_target_is_od_ac,disruption_target_is_od_ca,disruption_target_is_eastbound,disruption_target_is_westbound,disruption_target_is_all_ods,step_in_day,day_progress,queue_length_rolling_1h,utilization_rolling_1h,arrivals_total_rolling_1h,starts_total_rolling_1h,completions_total_rolling_1h,queue_wait_mean_minutes_rolling_1h,started_service_mean_minutes_rolling_1h,started_wait_mean_minutes_rolling_1h,effective_num_plugs_rolling_1h
18,1.5,1.5,0,1.5,01:30,26.01408043513512,0.7153965972165922,0.7153778267158395,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.0,24.0,0.0,0.0,0.5,0.0,0.0,30.0,0,none,0,none,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7153966426849365,0.0,0.7153966426849365,0.0,0.0,0.0,0.0,0.0,6.723336685969346,2.663842497518525,2.6643426519273197,6.722495249728685,3.620258215521955,3.6198051344692916,0.12999999999999998,0.5000065595597876,0.4999934404402124,0.0,0.0,0.5000065595597876,0.4999934404402124,0.0,0.0,1.8770500752718355e-05,,,0,0,0,0,0,0,0,0,0,0,0,0,18,0.0625,0.0,0.6180555572112402,2.0,2.0,2.0,0.0,30.0,0.0,24.0
19,1.5833333333333333,1.5833333333333333,0,1.5833333333333333,01:34,26.01737475808425,0.7154893883802427,0.7154662233143911,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.0,24.0,0.0,0.0,0.5,0.0,0.0,30.0,0,none,0,none,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.724286549014836,2.6641213196772497,2.664738570648253,6.72324811502835,3.6207696802387574,3.620210523476804,0.029999999999999985,0.5000080942643021,0.4999919057356978,0.0,0.0,0.5000080942643021,0.4999919057356978,0.0,0.0,2.3165065851538102e-05,,,0,0,0,0,0,0,0,0,0,0,0,0,19,0.06597222222222222,0.0,0.6076388905445734,1.8333333333333333,1.8333333333333333,1.8333333333333333,0.0,30.0,0.0,24.0
20,1.6666666666666667,1.6666666666666667,0,1.6666666666666667,01:40,26.021381755449077,0.7156022541870618,0.7155737423626375,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13.0,24.0,0.0,0.0,0.5416666865348816,0.0,0.0,30.0,0,none,0,none,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7254419334342135,2.664460440609282,2.665220160068935,6.724163817166846,3.6213918103107297,3.6207035938590706,0.14416666865348815,0.500009960977718,0.499990039022282,0.0,0.0,0.500009960977718,0.499990039022282,0.0,0.0,2.8511824424315435e-05,,,0,0,0,0,0,0,0,0,0,0,0,0,20,0.06944444444444445,0.0,0.5868055621782938,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.0,30.0,0.0,24.0
21,1.75,1.75,0,1.75,01:45,26.026241572198707,0.7157391426130781,0.7157041438578509,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.0,24.0,0.0,0.0,0.375,0.0,0.0,30.0,0,none,0,none,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7268432707303445,2.664871708093989,2.6658042768070698,6.725274361013129,3.622146376547108,3.6213015790070693,-0.0125,0.5000122249884288,0.49998777501157116,0.0,0.0,0.5000122249884288,0.49998777501157116,0.0,0.0,3.499875522727791e-05,,,0,0,0,0,0,0,0,0,0,0,0,0,21,0.07291666666666667,0.0,0.5486111144224802,1.5833333333333333,1.5833333333333333,1.5833333333333333,0.0,30.0,0.0,24.0
22,1.8333333333333333,1.8333333333333333,0,1.8333333333333333,01:49,26.032118721219238,0.715904688265826,0.7158618414012319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,24.0,0.0,0.0,0.2916666865348816,0.0,0.0,30.0,0,none,0,none,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.728538030170442,2.665369025398854,2.6665107130136496,6.7266173086539345,3.623058939322545,3.62202470465981,-0.14083333134651185,0.5000149629369406,0.4999850370630594,0.0,0.0,0.5000149629369406,0.4999850370630594,0.0,0.0,4.2846864594103806e-05,,,0,0,0,0,0,0,0,0,0,0,0,0,22,0.07638888888888888,0.0,0.517361119389534,1.5833333333333333,1.5833333333333333,1.5833333333333333,0.0,30.0,0.0,24.0
23,1.9166666666666667,1.9166666666666667,0,1.9166666666666667,01:55,26.039205639508445,0.716104312666123,0.7160519975068416,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,24.0,0.0,0.0,0.2916666567325592,0.0,0.0,30.0,0,none,0,none,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.730581749286824,2.6659686492158654,2.6673626268146515,6.72823658697383,3.6241594034621354,3.622896623755139,-0.0408333343267441,0.5000182644725683,0.49998173552743164,0.0,0.0,0.5000182644725683,0.49998173552743164,0.0,0.0,5.2315159281390855e-05,,,0,0,0,0,0,0,0,0,0,0,0,0,23,0.07986111111111112,0.0,0.4826388979951541,1.4166666666666667,1.4166666666666667,1.4166666666666667,0.0,30.0,0.0,24.0
24,2.0,2.0,0,2.0,02:00,26.0477266268029,0.716344335347032,0.7162806291271273,0.0,0.0,4.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,24.0,0.0,0.0,0.4166666865348816,0.0,0.0,30.0,0,none,0,none,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7163443565368652,0.7162806987762451,6.365776062011719e-05,0.0,0.0,0.0,0.0,0.0,6.733039176672466,2.6666895187612325,2.6683870199192152,6.7301833806071265,3.625482633592866,3.623944897249991,0.3016666686534881,0.500022234088294,0.49997776591170595,0.0,0.0,0.500022234088294,0.49997776591170595,0.0,0.0,6.370621990470227e-05,,,0,0,0,0,0,0,0,0,0,0,0,0,24,0.08333333333333333,0.0,0.4687500124176343,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.0,30.0,0.0,24.0
25,2.0833333333333335,2.0833333333333335,0,2.0833333333333335,02:05,26.057942181336564,0.7166320962001372,0.7165547237733738,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.0,24.0,0.0,0.0,0.5,0.0,0.0,30.0,0,none,0,none,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.73598553203117,2.6675536168536884,2.6696152645898787,6.732517112899279,3.627069132632168,3.6252015223303804,0.12999999999999998,0.5000269931406308,0.4999730068593693,0.0,0.0,0.5000269931406308,0.4999730068593693,0.0,0.0,7.737242676342238e-05,,,0,0,0,0,0,0,0,0,0,0,0,0,25,0.08680555555555557,0.0,0.4652777885397275,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.0,30.0,0.0,24.0
26,2.1666666666666665,2.1666666666666665,0,2.1666666666666665,02:09,26.070153742370845,0.7169760893618282,0.7168823664685684,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.0,24.0,0.0,0.0,0.4583333134651184,0.0,0.0,30.0,0,none,0,none,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.73950788721081,2.668586363223211,2.6710836816975467,6.735306516131748,3.6289657854212054,3.626703508686325,0.015833331346511836,0.5000326820589852,0.4999673179410148,0.0,0.0,0.5000326820589852,0.4999673179410148,0.0,0.0,9.372289325981775e-05,,,0,0,0,0,0,0,0,0,0,0,0,0,26,0.09027777777777778,0.0,0.4583333407839139,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.0,30.0,0.0,24.0
27,2.25,2.25,0,2.25,02:15,26.084708842731484,0.7173861087583242,0.7172728775919075,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,24.0,0.0,0.0,0.4166666567325592,0.0,0.0,30.0,0,none,0,none,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.743706670389615,2.6698170395887684,2.6728341709855106,6.73863079051257,3.631226668671331,3.628493502583691,0.001666665673255907,0.5000394627460233,0.4999605372539767,0.0,0.0,0.5000394627460233,0.4999605372539767,0.0,0.0,0.00011323116641670516,,,0,0,0,0,0,0,0,0,0,0,0,0,27,0.09375,0.0,0.4513888955116272,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.0,30.0,0.0,24.0
