step,hour,global_hour,day_index,hour_of_day,time_label,expected_passing_total,expected_station_arrivals_ab,expected_station_arrivals_bc,expected_passing_ab,expected_passing_ba,arrivals_total,arrivals_total_station_ab,arrivals_total_station_bc,arrivals_ab,arrivals_ba,starts_total,starts_ab,starts_ba,completions_total,completions_ab,completions_ba,queue_length,queue_wait_mean_minutes,queue_wait_target_minutes,queue_wait_excess_minutes,queue_wait_target_breached,active_plugs,effective_num_plugs,unused_mobile_chargers,unused_mobile_stations_estimate,utilization,started_wait_mean_minutes,completed_wait_mean_minutes,started_service_mean_minutes,disruption_active,disruption_type,disruption_type_code,disruption_target,disruption_target_code,disruption_day_index,disruption_remaining_minutes,rl_action_mcs,num_active_mobile_stations,num_active_mobile_stations_station_ab,num_active_mobile_stations_station_bc,queue_length_station_ab,queue_length_station_bc,queue_wait_mean_minutes_station_ab,queue_wait_mean_minutes_station_bc,local_deficit_without_mcs_station_ab,local_deficit_without_mcs_station_bc,local_deficit_bias_ab_minus_bc,mobile_service_capacity_station_ab,mobile_service_capacity_station_bc,spatial_deficit_coverage,unused_mobile_stations_estimate_station_ab,unused_mobile_stations_estimate_station_bc,expected_passing_od_ab,expected_passing_od_ba,expected_passing_od_bc,expected_passing_od_cb,expected_passing_od_ac,expected_passing_od_ca,reward,expected_demand_share_ab,expected_demand_share_bc,allocation_share_ab,allocation_share_bc,allocation_demand_gap_ab,allocation_demand_gap_bc,allocation_vs_demand_alignment,allocation_bias_ab_minus_bc,expected_demand_bias_ab_minus_bc,alignment_on_station_ab_disruption,alignment_on_station_bc_disruption,disruption_target_is_station_ab,disruption_target_is_station_bc,disruption_target_is_all_stations,disruption_target_is_od_ab,disruption_target_is_od_ba,disruption_target_is_od_bc,disruption_target_is_od_cb,disruption_target_is_od_ac,disruption_target_is_od_ca,disruption_target_is_eastbound,disruption_target_is_westbound,disruption_target_is_all_ods,step_in_day,day_progress,queue_length_rolling_1h,utilization_rolling_1h,arrivals_total_rolling_1h,starts_total_rolling_1h,completions_total_rolling_1h,queue_wait_mean_minutes_rolling_1h,started_service_mean_minutes_rolling_1h,started_wait_mean_minutes_rolling_1h,effective_num_plugs_rolling_1h
0,0.0,0.0,0,0.0,00:00,26.000201239272073,0.715005668143551,0.715005400016413,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,24.0,0.0,0.0,0.0416666679084301,0.0,0.0,30.0,0,none,0,none,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.719335125196606,2.662667639024035,2.662674783477558,6.719323105704207,3.6181035289520183,3.61809705691765,-0.12583333320915702,0.500000093750022,0.49999990624997803,0.0,0.0,0.500000093750022,0.49999990624997803,0.0,0.0,2.681271380478023e-07,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0416666679084301,1.0,1.0,1.0,0.0,30.0,0.0,24.0
1,0.08333333333333333,0.08333333333333333,0,0.08333333333333333,00:05,26.000260748134345,0.7150073442818634,0.7150069968655253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,24.0,0.0,0.0,0.0416666679084301,0.0,0.0,30.0,0,none,0,none,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.719352281465857,2.6626726769443145,2.6626819341194707,6.719336707630006,3.6181127669431534,3.618104381031541,-0.22583333320915702,0.5000001214730259,0.49999987852697414,0.0,0.0,0.5000001214730259,0.49999987852697414,0.0,0.0,3.4741633814228123e-07,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003472222222222222,0.0,0.0416666679084301,0.5,0.5,0.5,0.0,30.0,0.0,24.0
2,0.16666666666666666,0.16666666666666666,0,0.16666666666666666,00:10,26.00033693923275,0.715009490295583,0.7150090413622181,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,24.0,0.0,0.0,0.0833333358168602,0.0,0.0,30.0,0,none,0,none,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.719374247197603,2.6626791271476207,2.6626910893219233,6.719354122598481,3.618124594644863,3.6181137583222585,-0.111666666418314,0.5000001569676739,0.49999984303232614,0.0,0.0,0.5000001569676739,0.49999984303232614,0.0,0.0,4.4893336492712876e-07,,,0,0,0,0,0,0,0,0,0,0,0,0,2,0.006944444444444444,0.0,0.055555557211240135,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,30.0,0.0,24.0
3,0.25,0.25,0,0.25,00:15,26.000434214034374,0.7150122301575376,0.715011651614353,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,24.0,0.0,0.0,0.1666666716337204,0.0,0.0,30.0,0,none,0,none,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7150115966796875,-0.7150115966796875,0.0,0.0,0.0,0.0,0.0,6.719402291335554,2.6626873622483473,2.6627027779758374,6.71937635664107,3.6181396953345284,3.6181257304990373,0.01666666716337204,0.5000002022844485,0.49999979771555153,0.0,0.0,0.5000002022844485,0.49999979771555153,0.0,0.0,5.785431845817257e-07,,,0,0,0,0,0,0,0,0,0,0,0,0,3,0.010416666666666666,0.0,0.0833333358168602,1.0,1.0,1.0,0.0,30.0,0.0,24.0
4,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,00:20,26.00055805632005,0.7150157183253821,0.7150149747722205,0.0,0.0,5.0,3.0,2.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.0,24.0,0.0,0.0,0.375,0.0,0.0,30.0,0,none,0,none,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7150156497955322,0.7150149345397949,1.0000007152557373,0.0,0.0,0.0,0.0,0.0,6.719437994859425,2.662697846483344,2.6627176590284036,6.719404663165971,3.618158920308921,3.618140972473984,0.3875,0.5000002599780428,0.49999974002195713,0.0,0.0,0.5000002599780428,0.49999974002195713,0.0,0.0,7.435531615973545e-07,,,0,0,0,0,0,0,0,0,0,0,0,0,4,0.013888888888888888,0.0,0.14166666865348815,1.8,1.8,1.8,0.0,30.0,0.0,24.0
5,0.4166666666666667,0.4166666666666667,0,0.4166666666666667,00:25,26.00071527674646,0.7150201466300854,0.71501919359097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.0,24.0,0.0,0.0,0.375,0.0,0.0,30.0,0,none,0,none,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.719483321296194,2.66271115641342,2.662736550872612,6.719440598853085,3.6181833268517964,3.618160322459353,-0.1125,0.5000003332212928,0.4999996667787072,0.0,0.0,0.5000003332212928,0.4999996667787072,0.0,0.0,9.530391154033424e-07,,,0,0,0,0,0,0,0,0,0,0,0,0,5,0.017361111111111112,0.0,0.18055555721124014,1.5,1.5,1.5,0.0,30.0,0.0,24.0
6,0.5,0.5,0,0.5,00:30,26.000914307080095,0.7150257525635397,0.7150245343258654,0.0,0.0,4.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13.0,24.0,0.0,0.0,0.5416666269302368,0.0,0.0,30.0,0,none,0,none,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7150256633758545,0.0,1.7150256633758545,0.0,0.0,0.0,0.0,0.0,6.719540701554212,2.662728005828458,2.6627604667069242,6.71948609089985,3.618214223913806,3.618184818176842,0.3441666626930237,0.5000004259422502,0.49999957405774975,0.0,0.0,0.5000004259422502,0.49999957405774975,0.0,0.0,1.218237674294187e-06,,,0,0,0,0,0,0,0,0,0,0,0,0,6,0.020833333333333332,0.0,0.23214285288538253,1.8571428571428572,1.8571428571428572,1.8571428571428572,0.0,30.0,0.0,24.0
7,0.5833333333333334,0.5833333333333334,0,0.5833333333333334,00:35,26.001165552821735,0.7150328292109001,0.7150312761942954,0.0,0.0,3.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15.0,24.0,0.0,0.0,0.625,0.0,0.0,30.0,0,none,0,none,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7150311470031738,-0.7150311470031738,0.0,0.0,0.0,0.0,0.0,6.719613135595156,2.6627492755934012,2.6627906569135913,6.719543517609426,3.61825322685893,3.6182157402512294,0.2725,0.5000005429884572,0.4999994570115428,0.0,0.0,0.5000005429884572,0.4999994570115428,0.0,0.0,1.5530166046495708e-06,,,0,0,0,0,0,0,0,0,0,0,0,0,7,0.024305555555555556,0.0,0.2812499962747097,2.0,2.0,2.0,0.0,30.0,0.0,24.0
8,0.6666666666666666,0.6666666666666666,0,0.6666666666666666,00:40,26.001481814152513,0.7150417371074173,0.715039762670971,0.0,0.0,4.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19.0,24.0,0.0,0.0,0.7916666269302368,0.0,0.0,30.0,0,none,0,none,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7150416374206543,0.7150397300720215,1.9073486328125e-06,0.0,0.0,0.0,0.0,0.0,6.719704313809022,2.662776049274619,2.66282865965015,6.719615804589013,3.618302322820242,3.618254664009468,0.4291666626930237,0.5000006903230503,0.49999930967694967,0.0,0.0,0.5000006903230503,0.49999930967694967,0.0,0.0,1.9744364462281894e-06,,,0,0,0,0,0,0,0,0,0,0,0,0,8,0.027777777777777776,0.0,0.33796295523643494,2.2222222222222223,2.2222222222222223,2.2222222222222223,0.0,30.0,0.0,24.0
9,0.75,0.75,0,0.75,00:45,26.00187878644192,0.7150529183364334,0.7150504149178725,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.0,24.0,0.0,0.0,0.8333333730697632,0.0,0.0,30.0,0,none,0,none,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7150528430938721,0.0,0.7150528430938721,0.0,0.0,0.0,0.0,0.0,6.719818761335814,2.6628096554963965,2.662876361006641,6.719706539124462,3.6183639484115915,3.6183035210670176,0.24333333730697634,0.5000008752579281,0.49999912474207187,0.0,0.0,0.5000008752579281,0.49999912474207187,0.0,0.0,2.5034185608951987e-06,,,0,0,0,0,0,0,0,0,0,0,0,0,9,0.03125,0.0,0.3874999970197678,2.2,2.2,2.2,0.0,30.0,0.0,24.0
10,0.8333333333333334,0.8333333333333334,0,0.8333333333333334,00:50,26.002375652955763,0.7150669132246075,0.7150637476879595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16.0,24.0,0.0,0.0,0.6666666269302368,0.0,0.0,30.0,0,none,0,none,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.71996200898213,2.6628517180946822,2.6629360662498778,6.719820105615153,3.618441081759608,3.6183646722543132,-0.013333337306976323,0.5000011067298724,0.49999889327012753,0.0,0.0,0.5000011067298724,0.49999889327012753,0.0,0.0,3.1655366479199643e-06,,,0,0,0,0,0,0,0,0,0,0,0,0,10,0.034722222222222224,0.0,0.41287878155708313,2.0,2.0,2.0,0.0,30.0,0.0,24.0
11,0.9166666666666666,0.9166666666666666,0,0.9166666666666666,00:55,26.002995783873924,0.7150843800319469,0.715080388081119,0.0,0.0,3.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17.0,24.0,0.0,0.0,0.7083333134651184,0.0,0.0,30.0,0,none,0,none,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7150843143463135,0.0,0.7150843143463135,0.0,0.0,0.0,0.0,0.0,6.720140794807276,2.662904215258573,2.663010583854299,6.719961845287408,3.618537351050071,3.618440993616296,0.30083333134651186,0.5000013956261953,0.4999986043738047,0.0,0.0,0.5000013956261953,0.4999986043738047,0.0,0.0,3.991950827897384e-06,,,0,0,0,0,0,0,0,0,0,0,0,0,11,0.03819444444444444,0.0,0.4374999925494194,2.0833333333333335,2.0833333333333335,2.0833333333333335,0.0,30.0,0.0,24.0
12,1.0,1.0,0,1.0,01:00,26.003767557253358,0.7151061180772543,0.7151010975716803,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14.0,24.0,0.0,0.0,0.5833333134651184,0.0,0.0,30.0,0,none,0,none,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7203633008966115,2.66296954897723,2.6631033242041213,6.720138243750193,3.618657162021252,3.61853597740395,0.05833333134651184,0.5000017551671951,0.49999824483280497,0.0,0.0,0.5000017551671951,0.49999824483280497,0.0,0.0,5.0205055740493165e-06,,,0,0,0,0,0,0,0,0,0,0,0,0,12,0.041666666666666664,0.0,0.48263887967914343,2.0833333333333335,2.0833333333333335,2.0833333333333335,0.0,30.0,0.0,24.0
13,1.0833333333333333,1.0833333333333333,0,1.0833333333333333,01:04,26.00472531912395,0.7151330947834289,0.7151267977683882,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13.0,24.0,0.0,0.0,0.5416666865348816,0.0,0.0,30.0,0,none,0,none,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.720639430291777,2.663050626238679,2.663218415040708,6.720357150307189,3.618805847080187,3.618653850165409,0.14416666865348815,0.5000022013534301,0.4999977986465699,0.0,0.0,0.5000022013534301,0.4999977986465699,0.0,0.0,6.297015040734877e-06,,,0,0,0,0,0,0,0,0,0,0,0,0,13,0.04513888888888889,0.0,0.5243055478980144,2.25,2.25,2.25,0.0,30.0,0.0,24.0
14,1.1666666666666667,1.1666666666666667,0,1.1666666666666667,01:10,26.005910501447737,0.7151664771706547,0.7151586004089707,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13.0,24.0,0.0,0.0,0.5416666865348816,0.0,0.0,30.0,0,none,0,none,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.720981129498817,2.663150953553702,2.663360835918326,6.720628033285393,3.618989838960901,3.6187997102305958,0.04416666865348815,0.5000027534865351,0.49999724651346483,0.0,0.0,0.5000027534865351,0.49999724651346483,0.0,0.0,7.876761684011413e-06,,,0,0,0,0,0,0,0,0,0,0,0,0,14,0.04861111111111111,0.0,0.5624999937911829,2.25,2.25,2.25,0.0,30.0,0.0,24.0
15,1.25,1.25,0,1.25,01:15,26.007372918161686,0.7152076683676722,0.7151978421312205,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.0,24.0,0.0,0.0,0.5,0.0,0.0,30.0,0,none,0,none,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.721402762433621,2.6632747464987707,2.6635365741158257,6.7209622759719885,3.619216872079641,3.61897968706184,0.029999999999999985,0.5000034347729995,0.4999965652270004,0.0,0.0,0.5000034347729995,0.4999965652270004,0.0,0.0,9.826236451737635e-06,,,0,0,0,0,0,0,0,0,0,0,0,0,15,0.052083333333333336,0.0,0.5902777711550394,2.1666666666666665,2.1666666666666665,2.1666666666666665,0.0,30.0,0.0,24.0
