name,address,lat,lon,charging_availability_id,total_connectors,available_connectors,occupied_connectors,reserved_connectors,unknown_connectors,out_of_service_connectors,max_power_kw,site_type
Uno-X,"Udbyhøjvej 62, 8930 Randers",56.465834,10.055969,bd81b8d0-cb79-4513-a574-32536b4a7d8c,1,1,0,0,0,0,22.0,city_hub
drivee,"Toldbodgade 48, 8930 Randers",56.466197,10.064056,,0,0,0,0,0,0,,city_hub
OK,"Gymnasievej 151, 4600 Køge",55.453172,12.162234,ed573b54-015e-4dae-ad71-dd88505cb7f3,4,2,2,0,0,0,40.0,highway_exit
OK,"Parkvej 51, 4600 Køge",55.45055,12.164646,cbde9e66-b014-46de-9178-001548615b4a,12,6,2,0,0,4,20.0,highway_exit
OK,"Marksvinget 19, 4600 Hastrup",55.448087,12.165222,c7e51a5b-35ef-4fa8-85a7-8a632a1bdb1c,2,0,2,0,0,0,40.0,highway_exit
Norlys,"Gymnasievej 27, 4600 Køge",55.45409,12.167143,d5b8b360-ed1b-4bde-bc95-8153af53d974,4,4,0,0,0,0,300.0,highway_exit
Circle K,"Vordingborgvej 9, 4600 Hastrup",55.446462,12.173246,fe189006-7766-4261-8a75-d3e50a86cd84,6,3,2,0,0,1,300.0,highway_exit
Norlys,"Kongsberg Allé 4, 4600 Køge",55.454384,12.174371,5f87f356-8448-4865-87b6-6e55b1cb7d5a,2,2,0,0,0,0,22.0,highway_exit
EWII,"Rasmussensvej 23, 4600 Hastrup",55.446232,12.175893,08ada6b1-d075-479a-9fba-facef0ce3649,2,0,1,0,1,0,22.0,highway_exit
OK,"Vestergade 25A, 4600 Køge",55.45643,12.177198,7daa37e4-e41b-4c7e-8607-f4ce240aee7a,2,0,1,0,0,1,75.0,highway_exit
EWII,"Ved Stadion 2B, 4600 Køge",55.466509,12.177414,58a179bd-525f-4c7d-bc17-4bfef44bbdb9,8,3,5,0,0,0,300.0,highway_exit
EWII,"Kongsberg Allé 4, 4600 Køge",55.453055,12.179146,2e46e76e-419e-4a83-a2d2-1ad0c2c8efeb,2,1,1,0,0,0,22.0,highway_exit
Clever,"Blegdammen 3, 4600 Køge",55.454567,12.179796,9bf5e5fe-f1af-46cf-9ad6-778db686f4fd,4,0,4,0,0,0,22.0,highway_exit
E.ON Drive,"Torvet 1, 4600 Køge",55.456691,12.180651,4878d3d8-3793-464d-b85c-28034c34429f,2,2,0,0,0,0,22.0,highway_exit
