name,address,lat,lon,charging_availability_id,total_connectors,available_connectors,occupied_connectors,reserved_connectors,unknown_connectors,out_of_service_connectors,max_power_kw
OK,"Gammel Kongevej 161, 1850 Frederiksberg C",55.677482,12.536085,693a4607-a31d-448c-8bd4-e7237f154ef0,2,1,1,0,0,0,20.0
Clever,"Martensens Allé 13, 1828 Frederiksberg C",55.67547,12.542233,5281fdc1-deb1-4273-8e95-d0e025c23d0d,8,2,6,0,0,0,11.0
OK,"Frederiksberg Bredegade 2, 2000 Frederiksberg",55.677984,12.531078,35456202-863d-816f-a783-2edefb681efa,6,3,2,0,1,0,40.0
Clever,"Henrik Steffens Vej 1, 1866 Frederiksberg C",55.677689,12.537993,73a3d83f-af15-41a9-b51c-6d7690e46c7d,8,0,8,0,0,0,22.0
E.ON Drive Infrastructure Denmark ApS,"Frederiksberg Bredegade --, 2000 Frederiksberg",55.678335,12.529709,3477c2c0-12a0-8934-90a9-c6cc563fe851,2,0,0,0,0,2,150.0
Clever,"Frederiksberg Bredegade 14, 2000 Frederiksberg",55.678422,12.529695,517cb790-d9f1-4a78-a550-40a2b5fb7feb,4,1,3,0,0,0,300.0
EDF Danmark A/S,"John Winthers Plads 2, 2000 Frederiksberg",55.678658,12.529097,1f692572-bb2b-885a-b4e4-ceed39b16342,16,13,3,0,0,0,22.0
EDF Danmark A/S,"John Winthers Plads 2, 1860 Frederiksberg",55.678659,12.529097,8c1656d0-c03b-423e-b89a-7bc2ad8f0d68,16,13,3,0,0,0,22.0
OK,"Sankt Thomas Allé 10, 1824 Frederiksberg C",55.674509,12.547467,1664dc24-94a5-8c00-9fbe-df8c14ac23aa,4,3,1,0,0,0,40.0
EDF Danmark A/S,"Gammel Kongevej 60, 1850 Frederiksberg C",55.673787,12.554078,3fcefc0e-ef8a-4a2e-bba9-1f9518231d77,10,5,5,0,0,0,22.0
Clever,"Sankt Thomas Allé 14, 1824 Frederiksberg C",55.67479,12.547574,a9d46417-5c00-4038-91ab-3ead85384bc5,8,3,5,0,0,0,11.0
Clever,"Sankt Thomas Allé 19, 1824 Frederiksberg",55.674918,12.547339,,0,0,0,0,0,0,
Clever,"Prinsesse Maries Allé 13, 1908 Frederiksberg",55.675308,12.55388,9e3f8499-2517-4a09-8a40-69ad14c7b5ce,8,3,5,0,0,0,22.0
OK,"Forhåbningsholms Allé 18, 1904 Frederiksberg C",55.676164,12.550462,3cafa78f-f746-8705-a2b3-68755ba23268,8,7,1,0,0,0,40.0
Clever,"Carl Plougs Vej 1, 1913 Frederiksberg",55.678095,12.551831,f030f3cf-5b2d-478b-8f60-059e4835a207,4,3,1,0,0,0,22.0
OK,"Carl Plougs Vej 6, 1913 Frederiksberg",55.678513,12.552221,2569ef62-59fd-806c-baee-95879a24833b,4,3,1,0,0,0,40.0
Clever,"Mørk Hansens Vej 2, 2000 Frederiksberg",55.679096,12.497579,08d3ec18-3fa3-49b0-8576-caea4690cec5,8,0,8,0,0,0,11.0
OK,"Sønderjyllands Allé 2, 2000 Frederiksberg",55.680067,12.498724,ce4efdc2-6dcf-4e30-bab6-d50f599949c8,1,1,0,0,0,0,40.0
Virta,"A.D. Jørgensens Vej 8, 2000 Frederiksberg",55.678945,12.494733,,0,0,0,0,0,0,
OK,"Peter Bangs Vej 194, 2000 Frederiksberg",55.678551,12.494485,178baa6f-1438-8bfa-ac7d-ea0c7bd73998,6,6,0,0,0,0,40.0
OK,"Julius Valentiners Vej 20, 2000 Frederiksberg",55.67961,12.50556,227627d1-17c2-85f3-ac21-3f994d6a3dab,4,4,0,0,0,0,40.0
Norlys,"Christian Paulsens Vej 32, 2000 Frederiksberg",55.681581,12.496777,0f4d1569-f57f-4568-b1c6-9706a33ce348,2,2,0,0,0,0,22.0
E.ON Drive,"Nis Lorenzens Vej 9, 2000 Frederiksberg",55.682173,12.498217,d7c75596-ded5-46fa-8e45-dabefb0f85ed,6,4,1,0,0,1,22.0
OK,"Julius Valentiners Vej 20, 2000 Frederiksberg",55.680176,12.506038,3791ef35-56bf-8566-9794-6a5e1d26d1e7,6,6,0,0,0,0,40.0
Clever,"Flintholm Allé 4A, 2000 Frederiksberg",55.682593,12.502068,e2f13ee3-4f9e-4bba-bc66-67c55af7c2cc,4,2,2,0,0,0,22.0
Clever,"Julius Valentiners Vej 39, 2000 Frederiksberg",55.681652,12.506652,b2a241ff-623a-481a-b81e-3635de8c5ead,6,5,1,0,0,0,22.0
COMPANY NAME-SITE Vælg ladepunkt og se pris,"Dirch Passers Allé 1, 2000 Frederiksberg",55.682608,12.505175,,0,0,0,0,0,0,
Astronom Hansensgade 9 (Tønder Gymnasium),"Flintholm Allé 22, 2000 Frederiksberg",55.684496,12.500803,,0,0,0,0,0,0,
Clever,"Peter Bangs Vej 44, 2000 Frederiksberg",55.678934,12.51121,c9c3fe45-9837-4045-a66f-1b56cc06f470,4,4,0,0,0,0,22.0
OK,"Flintholm Allé 49, 2000 Frederiksberg",55.684884,12.500529,1fdd39ad-8a24-869c-82d0-25d54cb0b8a3,4,2,2,0,0,0,40.0
COMPANY NAME-SITE Vælg ladepunkt og se pris,"Dirch Passers Allé 76, 2000 Frederiksberg",55.684884,12.500529,,0,0,0,0,0,0,
OK,"P.G. Ramms Allé 1, 2000 Frederiksberg",55.679157,12.511653,17b65927-d450-817e-a315-8440ff2d6507,2,0,2,0,0,0,40.0
Clever,"P.G. Ramms Allé 1, 2000 Frederiksberg",55.679401,12.511586,a5ca9b48-9ea3-4ded-b12e-9993b7c11cee,8,6,2,0,0,0,22.0
Norlys,"Osvald Helmuths Vej 4, 2000 Frederiksberg",55.684509,12.505016,007ec6e0-72d1-8c0b-968a-2038f77dd099,8,6,2,0,0,0,22.0
Clever,"Lauritz Sørensens Vej 10, 2000 Frederiksberg",55.682656,12.510158,43579215-62f6-4e82-8d3b-cbd2df2cf421,8,5,3,0,0,0,22.0
E.ON Drive,"Osvald Helmuths Vej 14, 2000 Frederiksberg",55.685046,12.505039,514d9083-512f-44a2-9dca-c145c53c4baf,6,0,1,0,5,0,22.0
DEAS A/S,"C.F. Richs Vej 103, 2000 Frederiksberg",55.685921,12.503396,90578838-cdf1-4659-b3bd-56f268da88a6,4,2,2,0,0,0,22.0
Clever,"Orla Lehmanns Vej 2, 2000 Frederiksberg",55.679555,12.520263,ddcb128f-0e6e-4f06-8e11-5dabf3f5e233,8,7,1,0,0,0,11.0
OK,"Finsensvej 33, 2000 Frederiksberg",55.681365,12.516168,d82557f3-722f-443e-a90e-05836c9cbbde,6,5,1,0,0,0,20.0
Clever,"Eversvej 1, 2000 Frederiksberg",55.681682,12.517291,f1601561-b5a9-4c8e-86be-b3d95ae07a99,6,4,2,0,0,0,22.0
Clever,"Wilkensvej 26A, 2000 Frederiksberg",55.682426,12.51424,4592bc03-8793-4942-ab37-3b45baca3ba3,8,8,0,0,0,0,22.0
OK,"Kilevej 3, 2000 Frederiksberg",55.681375,12.522813,0dddbb2f-acd4-8b58-9149-89bde45a932c,4,2,2,0,0,0,40.0
Clever,"Nordre Fasanvej 25, 2000 Frederiksberg",55.681871,12.522072,4e623e62-773f-4078-a21f-5b1cff3d92b0,4,0,3,0,0,1,300.0
Spirii,"Dalgas Have 2, 2000 Frederiksberg",55.683506,12.518119,3549d157-212c-8023-af4c-f939cbd2c144,4,2,2,0,0,0,22.0
E.ON Drive,"Kilevej 14, 2000 Frederiksberg",55.681229,12.524221,,0,0,0,0,0,0,
Clever,"Howitzvej 57, 2000 Frederiksberg",55.680104,12.525337,bd36dbdc-9e4b-47a7-bd77-4a9e8474acee,4,3,0,0,0,1,22.0
Spirii,"Dalgas Have 70, 2000 Frederiksberg",55.684318,12.513111,f5a3cecc-2c6b-4964-83c1-97c086949d41,4,2,2,0,0,0,22.0
Clever,"Lyøvej 4, 2000 Frederiksberg",55.682864,12.524145,3e928fc5-7965-464b-9533-cbc650f9ef6b,4,3,1,0,0,0,22.0
Clever,"La Cours Vej 6, 2000 Frederiksberg",55.684704,12.517025,5c2611ad-30a7-4c27-b487-6701121f9d06,6,4,2,0,0,0,22.0
А1 Еко,"Lyøvej 14, 2000 Frederiksberg",55.682534,12.52528,97fea467-bf77-4801-a881-4144b7fff6b6,5,3,2,0,0,0,22.0
Norlys,"Howitzvej 32, 2000 Frederiksberg",55.680119,12.52834,855c1d55-5603-495b-b232-52bd124362c8,1,1,0,0,0,0,22.0
Clever,"Thurøvej 3, 2000 Frederiksberg",55.683511,12.524898,457ea062-4f01-4728-960a-9f055fd59f73,4,2,1,0,1,0,11.0
